"File","Revision","DownRevision"
"0046_clone_mirror_policies.py","revision = ""0046_clone_mirror_policies""","down_revision = ""pack_core_prelaunch_01"""
"0047_provider_adapters.py","revision = ""0047_provider_adapters""","down_revision = ""0046_clone_mirror_policies"""
"0048_heimdall_behavior_core.py","revision = '0048_heimdall_behavior_core'","down_revision = '0047_provider_adapters'"
"0049_brrrr_zone_compliance.py","revision = '0049_brrrr_zone_compliance'","down_revision = '0048_heimdall_behavior_core'"
"0050_full_accounting_suite.py","revision = ""0050_full_accounting_suite""","down_revision = ""0049_brrrr_zone_compliance"""
"0051_legal_document_engine.py","revision = ""0051_legal_document_engine""","down_revision = ""0050_full_accounting_suite"""
"0052_neg_psych_enhancer.py","revision = ""0052_neg_psych_enhancer""","down_revision = ""0051_legal_document_engine"""
"0053_black_ice_tier2.py","revision = ""0053_black_ice_tier2""","down_revision = ""0052_neg_psych_enhancer"""
"0054_children_hubs.py","revision = ""0054_children_hubs""","down_revision = ""0053_black_ice_tier2"""
"0055_queen_hub_fun_vaults.py","revision = ""0055_queen_hub_fun_vaults""","down_revision = ""0054_children_hubs"""
"0056_kings_hub_adaptive_vaults.py","revision = ""0056_kings_hub_adaptive_vaults""","down_revision = ""0055_queen_hub_fun_vaults"""
"0057_pantry_photo_inventory.py","revision = ""0057_pantry_photo_inventory""","down_revision = ""0056_kings_hub_adaptive_vaults"""
"0058_resort_residency.py","revision = ""0058_resort_residency""","down_revision = ""0057_pantry_photo_inventory"""
"0059_integrity_telemetry.py","revision = ""0059_integrity_telemetry""","down_revision = ""0058_resort_residency"""
"0060_pack_st_su_sv.py","revision = ""0060_pack_st_su_sv""","down_revision = ""0059_integrity_telemetry"""
"0061_pack_sw_sx_sy.py","revision = ""0061_pack_sw_sx_sy""","down_revision = ""0060_pack_st_su_sv"""
"0062_pack_sz_ta_tb.py","revision = ""0062_pack_sz_ta_tb""","down_revision = ""0061_pack_sw_sx_sy"""
"0063_heimdall_ultra_mode.py","revision = ""0063_heimdall_ultra_mode""","down_revision = ""0062_pack_sz_ta_tb"""
"0064_pack_td_te_tf.py","revision = '0064'","down_revision = '0063_heimdall_ultra_mode'"
"0065_pack_tg_th_ti.py","revision = '0065'","down_revision = '0064'"
"0066_pack_tj_tk_tl.py","revision = '0066'","down_revision = '0065'"
"0067_pack_tm_tn_to.py","revision = '0067'","down_revision = '0066'"
"0100_professional_scorecard.py","revision = ""0100_professional_scorecard""","down_revision = ""126_freeze_events_table"""
"0101_retainer_lifecycle.py","revision = ""0101_retainer_lifecycle""","down_revision = ""0100_professional_scorecard"""
"0102_professional_task_links.py","revision = ""0102_professional_task_links""","down_revision = ""0101_retainer_lifecycle"""
"0103_contract_lifecycle.py","revision = ""0103_contract_lifecycle""","down_revision = ""0102_professional_task_links"""
"0104_document_routing.py","revision = ""0104_document_routing""","down_revision = ""0103_contract_lifecycle"""
"0105_pack_q_audit_events.py","revision = '0105_pack_q_audit_events'","down_revision = '0104_document_routing'"
"0106_pack_r_governance_decisions.py","revision = '0106_pack_r_governance_decisions'","down_revision = '0105_pack_q_audit_events'"
"0107_alter_contract_records_schema.py","revision = '0107_alter_contract_records_schema'","down_revision = '0106_pack_r_governance_decisions'"
"0108_add_packs_ap_through_ax_models.py","revision = '0108'","down_revision = '0107_alter_contract_records_schema'"
"0109_add_packs_sa_through_sc_models.py","revision = '0109'","down_revision = '0108'"
"0110_add_packs_sd_through_sf_models.py","revision = '0110'","down_revision = '0109'"
"0111_add_packs_sg_through_si_models.py","revision = '0111'","down_revision = '0110'"
"0112_add_packs_sj_through_sl_models.py","revision = '0112'","down_revision = '0111'"
"0113_add_packs_sm_through_so_models.py","revision = '0113'","down_revision = '0112'"
"0114_add_packs_sp_sq_so_models.py","revision = '0114'","down_revision = '0113'"
"100_truck_plans_table.py","revision = ""100_truck_plans_table""","down_revision = ""99_funfund_routing_table"""
"101_bahamas_plans_table.py","revision = ""101_bahamas_plans_table""","down_revision = ""100_truck_plans_table"""
"102_trust_status_table.py","revision = ""102_trust_status_table""","down_revision = ""101_bahamas_plans_table"""
"103_empire_snapshots_extend.py","revision = ""103_empire_snapshots_extend""","down_revision = ""102_trust_status_table"""
"104_legacy_performance_table.py","revision = ""104_legacy_performance_table""","down_revision = ""103_empire_snapshots_extend"""
"105_brrrr_zones_table.py","revision = ""105_brrrr_zones_table""","down_revision = ""104_legacy_performance_table"""
"106_contractor_loyalty_tables.py","revision = ""106_contractor_loyalty_tables""","down_revision = ""105_brrrr_zones_table"""
"107_system_health_reports_table.py","revision = ""107_system_health_reports_table""","down_revision = ""106_contractor_loyalty_tables"""
"126_add_freeze_events_table.py","revision = ""126_freeze_events_table""","down_revision = ""e75b30975c5f"""
"20250922_ops_enablers.py","revision = ""ops_enablers_001""","down_revision = None"
"20251021_v3_1_metrics_capital.py","revision = ""v3_1_metrics_capital""","down_revision = ""ops_enablers_001"""
"20251022_v3_2_builder.py","revision = ""v3_2_builder""","down_revision = ""v3_1_metrics_capital"""
"20251102_v3_4_capital_telemetry.py","revision = 'v3_4_capital_telemetry'","down_revision = 'v3_4_embeddings'"
"20251102_v3_5_grants.py","revision = ""v3_5_grants""","down_revision = ""v3_4_capital_telemetry"""
"20251103_v3_6_buyer_matching.py","revision = ""v3_6_buyer_matching""","down_revision = ""v3_5_grants"""
"20251103_v3_7_intake_notify.py","revision = ""v3_7_intake_notify""","down_revision = ""v3_6_buyer_matching"""
"20251103_v3_8_contracts.py","revision = ""v3_8_contracts""  # <-- keep whatever was already here","down_revision = ""v3_7_intake_notify""        # <-- keep your existing value here"
"20251105_v3_10_integrity_events.py","revision = ""v3_10_integrity_events""","down_revision = ""v3_9_research_db"""
"20251105_v3_9_research_db.py","revision = ""v3_9_research_db""","down_revision = ""v3_8_contracts"""
"20251209_pack_core_prelaunch_01.py","revision = ""pack_core_prelaunch_01""","down_revision = ""v3_10_integrity_events"""
"3e8296b25e8b_add_god_review_case_models.py","revision = ""3e8296b25e8b""","down_revision = ""f358f8404d91"""
"4cd55687949f_add_disputes.py","",""
"73_staff_table.py","revision = '73_staff_table'","down_revision = '85_god_case_rescan_fields'"
"74_contractors_table.py","revision = '74_contractors_table'","down_revision = '73_staff_table'"
"75_resort_bookings_table.py","revision = '75_resort_bookings_table'","down_revision = '74_contractors_table'"
"76_trusts_table.py","revision = ""76_trusts_table""","down_revision = ""75_resort_bookings_table"""
"77_legacies_table.py","revision = ""77_legacies_table""","down_revision = ""76_trusts_table"""
"78_shield_events_table.py","revision = ""78_shield_events_table""","down_revision = ""77_legacies_table"""
"79_legal_profiles_table.py","revision = ""79_legal_profiles_table""","down_revision = ""78_shield_events_table"""
"80_underwriter_assessments_table.py","revision = ""80_underwriter_assessments_table""","down_revision = ""79_legal_profiles_table"""
"81_material_items_table.py","revision = ""81_material_items_table""","down_revision = ""80_underwriter_assessments_table"""
"82_queen_streams_table.py","revision = ""82_queen_streams_table""","down_revision = ""81_material_items_table"""
"83_children_chores_coin_ledger_tables.py","revision = ""83_children_hub_tables""","down_revision = ""82_queen_streams_table"""
"83_god_cases.py","",""
"84_compliance_signals_table.py","revision = ""84_compliance_signals_table""","down_revision = ""83_children_hub_tables"""
"84_specialist_feedback.py","",""
"85_god_case_rescan_fields.py","",""
"85_integrity_events_table.py","revision = ""85_integrity_events_table""","down_revision = ""84_compliance_signals_table"""
"86_system_health_table.py","revision = ""86_system_health_table""","down_revision = ""85_integrity_events_table"""
"87_global_settings_table.py","revision = ""87_global_settings_table""","down_revision = ""86_system_health_table"""
"88_training_jobs_table.py","revision = ""88_training_jobs_table""","down_revision = ""87_global_settings_table"""
"89_knowledge_sources_table.py","revision = ""89_knowledge_sources_table""","down_revision = ""88_training_jobs_table"""
"90_empire_snapshots_table.py","revision = ""90_empire_snapshots_table""","down_revision = ""89_knowledge_sources_table"""
"91_notifications_table.py","revision = ""91_notifications_table""","down_revision = ""90_empire_snapshots_table"""
"92_automation_rules_table.py","revision = ""92_automation_rules_table""","down_revision = ""91_notifications_table"""
"93_kpi_metrics_table.py","revision = ""93_kpi_metrics_table""","down_revision = ""92_automation_rules_table"""
"94_tasks_table.py","revision = ""94_tasks_table""","down_revision = ""93_kpi_metrics_table"""
"95_automation_runs_table.py","revision = ""95_automation_runs_table""","down_revision = ""94_tasks_table"""
"96_scheduled_jobs_table.py","revision = ""96_scheduled_jobs_table""","down_revision = ""95_automation_runs_table"""
"97_error_logs_table.py","revision = ""97_error_logs_table""","down_revision = ""96_scheduled_jobs_table"""
"98_ai_personas_table.py","revision = ""98_ai_personas_table""","down_revision = ""97_error_logs_table"""
"99_funfund_routing_table.py","revision = ""99_funfund_routing_table""","down_revision = ""98_ai_personas_table"""
"b86d8ac41bb2_add_meeting_recordings.py","",""
"bda88eb16728_add_tax_opinions.py","",""
"e75b30975c5f_pack_125_ai_personas.py","",""
"ea0ce6b7a331_add_god_verdicts.py","",""
"f358f8404d91_add_loki_review_models.py","revision = ""f358f8404d91""","down_revision = ""pack_65_buyer_match"""
"f8dc20521d28_add_human_specialists_and_case_comments.py","",""
"fa9eb99ebae2_add_god_sync_records_table.py","",""
"pack_60_tax_tracker.py","revision = ""pack_60_tax_tracker""","down_revision = ""0059_integrity_telemetry"""
"pack_61_heimdall_training.py","revision = ""pack_61_heimdall_training""","down_revision = ""pack_60_tax_tracker"""
"pack_62_underwriter.py","revision = ""pack_62_underwriter""","down_revision = ""pack_61_heimdall_training"""
"pack_63_closer_engine.py","revision = ""pack_63_closer_engine""","down_revision = ""pack_62_underwriter"""
"pack_64_contract_engine.py","revision = ""pack_64_contract_engine""","down_revision = ""pack_63_closer_engine"""
"pack_65_buyer_match.py","revision = ""pack_65_buyer_match""","down_revision = ""pack_64_contract_engine"""
"v3_3_research.py","revision = 'v3_3_research'","down_revision = 'v3_2_builder'"
"v3_4_embeddings.py","revision = ""v3_4_embeddings""","down_revision = ""v3_3_research"""
